"","id","ind","press","model_type","corrstruc","aic","edf","p_val","signif_code","r_sq","expl_dev","nrmse","ks_test","tac","prop","adj_n_boot","interaction"
"1",1,"TZA","Tsum","gam","none",49.8029279698511,1.92161798365031,0.14556347536012," ",0.138431917325246,0.202109022010128,2.99209821138039,0.9354,FALSE,NA,NA,NA
"2",2,"TZA","Swin","gam","none",48.1301612668538,2.740511151399,0.0771995840966076,".",0.211018983555377,0.294180955624939,1.14110568920922,0.673,FALSE,NA,NA,NA
"3",3,"TZA","Pwin","gam","none",53.8913347194161,1.00000000016949,0.699198345588915," ",-0.0336827121574581,0.0060743152399511,0.84478737765769,0.9286,FALSE,NA,NA,NA
"4",4,"TZA","Nwin","gam","none",53.8710622289667,1.00000000088651,0.682157945009705," ",-0.0329068803579791,0.0068203073833109,0.891413216656367,0.9602,FALSE,NA,NA,NA
"5",5,"TZA","Fsprat","gam","none",36.6980734203652,3.51983362120869,0.000953981152575483,"***",0.495441517867922,0.563747745147711,2.64961322122676,0.8866,FALSE,0.87,200,TRUE
"6",6,"TZA","Fher","gam","none",48.3955462729711,1.28850538012786,0.046316894382375,"*",0.164882875123795,0.206269525448406,1.00701434021442,0.808,FALSE,1,NA,TRUE
"7",7,"TZA","Fcod","gam","none",47.8202019830513,2.12020107148959,0.0753996691343177,".",0.204563130980713,0.269427981057521,1.31592492303645,0.9151,FALSE,NA,NA,NA
"8",8,"MS","Tsum","gam","none",-247.174484588225,1.00000158832666,0.882812414905302," ",-0.0390782211514233,0.000886389292694627,1.30046811305084,0.4734,FALSE,NA,NA,NA
"9",9,"MS","Swin","gam","none",-255.556243756583,1.73986391916181,0.0187187779036147,"*",0.256855594843318,0.306585215507128,1.19828498505873,0.8287,FALSE,0.54,200,FALSE
"10",10,"MS","Pwin","gam","none",-249.428201640582,1.16079257522925,0.202100421060679," ",0.0493364258324699,0.0917796265414917,1.89112732578117,0.7958,FALSE,NA,NA,NA
"11",11,"MS","Nwin","gam","none",-247.158670016476,1.0000006705138,0.931564906148821," ",-0.0396870459071661,0.000300944209437025,1.33984028133187,0.3241,FALSE,NA,NA,NA
"12",12,"MS","Fsprat","gam","none",-247.896758635313,1.00000005606257,0.410484050850106," ",-0.0116505004157079,0.0272591363970392,1.13456167243247,0.281,FALSE,NA,NA,NA
"13",13,"MS","Fher","gam","none",-252.196458729212,1.0000021633464,0.0321540857705897,"*",0.137279980498541,0.1704615914933,2.2147752169322,0.9775,FALSE,1,NA,TRUE
"14",14,"MS","Fcod","gam","none",-247.313496390271,1.00000073372593,0.700554273269067," ",-0.033742216740875,0.00601712846006156,1.19743203551987,0.4363,FALSE,NA,NA,NA
"15",15,"rCC","Tsum","gam","none",92.7449714121386,1.00000000024983,7.38202277649935e-05,"***",0.443638188633045,0.465036719844814,1.59664356807265,0.8899,FALSE,1,NA,FALSE
"16",16,"rCC","Swin","gam","none",109.56290066539,1.0000000000369,0.79807909380251," ",-0.0372259691801973,0.00266733732820553,1.00291917299724,0.8621,FALSE,NA,NA,NA
"17",17,"rCC","Pwin","gam","none",108.364325001793,1.00000000004286,0.282756465465302," ",0.00781121178223654,0.0459723190230166,1.06101630885097,0.4733,FALSE,NA,NA,NA
"18",18,"rCC","Nwin","gam","none",105.424834255862,3.27218755327505,0.172501037728627," ",0.172822241619509,0.276925347977917,1.10380268213468,0.536,FALSE,NA,NA,NA
"19",19,"rCC","Fsprat","gam","none",109.599730119517,1.09610179871512,0.9182195270985," ",-0.0352538823851769,0.00839010386902317,0.995824293375623,0.7012,FALSE,NA,NA,NA
"20",20,"rCC","Fher","gam","none",105.497193708262,2.49670173758845,0.151926317974515," ",0.1505478446504,0.232118178198846,1.08359933960981,0.4299,FALSE,NA,NA,NA
"21",21,"rCC","Fcod","gam","none",109.575978502469,1.00000000116722,0.816944434777664," ",-0.0377284860991527,0.00218414802817102,1.0038588422034,0.9272,FALSE,NA,NA,NA
"22",22,"Cops","Tsum","gam","none",31.0425942276572,1.77174416843511,0.385300692764991," ",0.0529229731721949,0.117460596223773,0.92925466038479,0.9952,FALSE,NA,NA,NA
"23",23,"Cops","Swin","gam","none",32.4109105129467,1.0000000002929,0.517323305167144," ",-0.022359803230092,0.0169617276748902,0.844412935533895,0.9818,FALSE,NA,NA,NA
"24",24,"Cops","Pwin","gam","none",31.9862828924397,1.00000000011611,0.369655527154015," ",-0.00640697630147224,0.0323009843300054,0.855935011513452,0.9507,FALSE,NA,NA,NA
"25",25,"Cops","Nwin","gam","none",32.8538140612993,1.00000000040965,0.895547098432772," ",-0.0392687313492284,0.000703142949822083,0.833806610281073,0.9913,FALSE,NA,NA,NA
"26",26,"Cops","Fsprat","gam","none",31.3843016983048,1.00000000017293,0.244980248940766," ",0.015783180229993,0.0536376733046163,0.852881638246578,0.7907,FALSE,NA,NA,NA
"27",27,"Cops","Fher","gam","none",32.7372932905181,1.00000000012189,0.725812341470851," ",-0.0347933436453953,0.00500640034600373,0.837514820126332,0.9929,FALSE,NA,NA,NA
"28",28,"Cops","Fcod","gam","none",31.5746299951062,1.84462069049456,0.485147875909219," ",0.0363774787051407,0.104743557190026,0.963065264002566,0.8793,FALSE,NA,NA,NA
"29",29,"Micro","Tsum","gam","none",95.1028944228013,1.00000000006041,0.00621079780923089,"**",0.232693621622933,0.262205405408431,0.341583446814692,0.9518,FALSE,1,NA,FALSE
"30",30,"Micro","Swin","gam","none",101.372784045505,2.7543183014681,0.325131186758409," ",0.0859262607192285,0.182758954142014,1.05381531000702,0.7524,FALSE,NA,NA,NA
"31",31,"Micro","Pwin","gam","none",103.167386909938,1.00000000004278,0.715906077854736," ",-0.0343940536426757,0.00539033303761556,1.03805423495689,0.8583,FALSE,NA,NA,NA
"32",32,"Micro","Nwin","gam","none",103.037375147918,1.00000000005373,0.616758076321543," ",-0.0294251600495732,0.0101681153390506,1.12769977125794,0.7632,FALSE,NA,NA,NA
"33",33,"Micro","Fsprat","gam","none",93.9314614483868,3.35793803065536,0.0254582027153849,"*",0.318767138385689,0.406749358914414,0.81921881457485,0.3846,FALSE,1,200,TRUE
"34",34,"Micro","Fher","gam","none",99.6321622379408,1.00000000008254,0.0673581700521368,".",0.0925514850215505,0.127453350985094,1.19621669420076,0.9709,FALSE,NA,NA,NA
"35",35,"Micro","Fcod","gam","none",101.7691463189,1.55908034393987,0.403112284867848," ",0.0360994806333894,0.0938994172971553,1.0676124967084,0.8938,FALSE,NA,NA,NA
"36",36,"rZPPP","Tsum","gam","none",69.0162600672018,1.00000000009226,0.0135940561250031,"*",0.188154427050797,0.21937925678249,0.613412603900485,0.8849,FALSE,1,NA,FALSE
"37",37,"rZPPP","Swin","gam","none",75.3729095665873,1.13782159671578,0.689230077335609," ",-0.0225560597138701,0.0221934160013236,0.823784477938877,0.7108,FALSE,NA,NA,NA
"38",38,"rZPPP","Pwin","gam","none",75.4761670432313,1.00000000003568,0.649848069565309," ",-0.0312902373322403,0.00837477179735309,0.792800310819241,0.6468,FALSE,NA,NA,NA
"39",39,"rZPPP","Nwin","gam","none",75.7016062569898,1.00000000009209,0.969301895407337," ",-0.0399371477095738,6.04348983225667e-05,0.820183561941803,0.8733,FALSE,NA,NA,NA
"40",40,"rZPPP","Fsprat","gam","none",73.3453734117203,1.00000000010373,0.14331374178643," ",0.0469687710108359,0.0836238182834519,0.807112278957112,0.6742,FALSE,NA,NA,NA
