crit_id;crit;subcrit_id;subcrit;definition;score_explanation;score;weight;score_pressure_specific
1;C8;0;C8;reflect change;not met;0;1;no
1;C8;0;C8;reflect change;yes, met;1;1;no
2;C9;1;C9_1;sensitivity:r_sq;p > 0.05;0;1;yes
2;C9;1;C9_1;sensitivity:r_sq;r_sq < 20%;1;1;yes
2;C9;1;C9_1;sensitivity:r_sq;r_sq < 40%;2;1;yes
2;C9;1;C9_1;sensitivity:r_sq;r_sq >= 40%;3;1;yes
2;C9;2;C9_2;sensitivity:range;< 25% of range;0;1;yes
2;C9;2;C9_2;sensitivity:range;< 50% of range;1;1;yes
2;C9;2;C9_2;sensitivity:range;< 75% of range;2;1;yes
2;C9;2;C9_2;sensitivity:range;>=75% of range;3;1;yes
3;C10;1;C10_1;robustness:expectation;no;0;1;yes
3;C10;1;C10_1;robustness:expectation;neutral (or no expectation);1;1;yes
3;C10;1;C10_1;robustness:expectation;yes;2;1;yes
3;C10;2;C10_2;robustness:non-linearity;yes;0;1;yes
3;C10;2;C10_2;robustness:non-linearity;no;1;1;yes
3;C10;3;C10_3;robustness:nrsme;nrmse > 0.4;0;1;yes
3;C10;3;C10_3;robustness:nrsme;nrmse <= 0.4;1;1;yes
3;C10;3;C10_3;robustness:nrsme;nrmse <= 0.1;2;1;yes
3;C10;4;C10_4;tobustness:pressure interaction (tgam);yes;0;1;yes
3;C10;4;C10_4;tobustness:pressure interaction (tgam);no;1;1;yes
4;C11;0;C11;management link;eutrophication, fishing, climate;0;1;yes
4;C11;0;C11;management link;eutrophication, fishing;1;1;yes
4;C11;0;C11;management link;fishing, climate;1;1;yes
4;C11;0;C11;management link;eutrophication, climate;1;1;yes
4;C11;0;C11;management link;climate;2;1;yes
4;C11;0;C11;management link;eutrophication;3;1;yes
4;C11;0;C11;management link;fishing;3;1;yes
